text,label
the film hinges on its performances  and both leads are up to the task,1
walter hills pulpy  stylized boxing melodrama undisputed nearly overcomes its questionable inthering matchup with solid fight choreography and gritty prison authenticity,0
with its jerky handheld camera and documentary feel  bloody sunday is a sobering recount of a very bleak day in derry,1
a charming yet poignant tale of the irrevocable ties that bind,1
in trying to be daring and original  it comes off as only occasionally satirical and never fresh,0
unlike his directorial efforts  la femme nikita and the professional  the transporter lacks bessons perspective as a storyteller,0
nearly surreal  dabbling in french  this is no simple movie  and youll be taking a risk if you choose to see it  i enjoyed the ride  bumps and all   creamy depth  and ultimate theme,1
the movie is like a year late for tapping into our reality tv obsession  and even tardier for exploiting the novelty of the  webcast,0
there are plenty of scenes in frida that do work  but rarely do they involve the title character herself,0
while undercover brother is definitely one for the masses  its also full of sharp  smart satire,1
likeable thanks to its cast  its cuisine and its quirky tunes,1
an eyeboggling blend of psychedelic devices  special effects and backgrounds  spy kids 2 is a visual treat for all audiences,1
if  lilo  stitch  isnt the most edgy piece of disney animation to hit the silver screen  then this first film to use a watercolor background since  dumbo  certainly ranks as the most original in years,1
plot holes so large and obvious a marching band might as well be stomping through them in clown clothes  playing a college football fight song on untuned instruments,0
captures the raw comic energy of one of our most flamboyant female comics,1
manages to accomplish what few sequels can  it equals the original and in some ways even betters it,1
it is a strength of a documentary to disregard available bias  especially as temptingly easy as it would have been with this premise,1
rubbo runs through a remarkable amount of material in the films short 90 minutes,1
plays like a volatile and overlong w magazine fashion spread,0
zaidans script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight,0
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,0
theres no palpable chemistry between lopez and male lead ralph fiennes  plus the script by working girl scribe kevin wade is workmanlike in the extreme,0
an uninspired preachy and clichéd war film,0
given too much time to consider the looseness of the piece  the picture begins to resemble the shapeless  grasping actors workshop that it is,0
this followup seems so similar to the 1953 disney classic that it makes one long for a geriatric peter,0
after collateral damage  you might imagine that most every aggrieved father cliché has been unturned  but no,0
arteta paints a picture of lives lived in a state of quiet desperation,1
a mustsee for the david mamet enthusiast and for anyone who appreciates intelligent  stylish moviemaking,1
i enjoyed the movie in a superficial way  while never sure what its purpose was,0
the kind of trifle that date nights were invented for,1
among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations,1
the cast comes through even when the movie doesnt,1
punitively affirmational parable,0
the directors many dodges and turns add up to little more than a screenful of gamesmanship thats low on both suspense and payoff,0
queen of the damned is too long with too little going on,0
at its most basic  this cartoon adventure is that windinthehair exhilarating,1
cold  sterile and lacking any color or warmth,0
its an example of sophisticated  challenging filmmaking that stands  despite its noticeable lack of emotional heft  in welcome contrast to the indulgent deadend experimentation of the directors previous full frontal,1
a worthy entry into a very difficult genre,1
a dull  somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise,0
the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that weve long associated with washington the actor,1
outrageousness is all plympton seemed to be going for this time  we miss the quirky amazement that used to come along for an integral part of the ride,0
burns never really harnesses to full effect the energetic cast,0
at once subtle and visceral  the film never succumbs to the trap of the maudlin or tearful  offering instead with its unflinching gaze a measure of faith in the future,1
its strengths and weaknesses play off each other virtually to a standoff  with the unfortunate trump card being the dreary midsection of the film,0
immersing us in the endlessly inventive  fiercely competitive world of hiphop djs  the project is sensational and revelatory  even if scratching makes you itch,1
better than the tepid star trek  insurrection  falls short of first contact because the villain couldnt pick the lint off borg queen alice kriges cape  and finishes half a parsec  a nose  ahead of generations,1
a movie of riveting power and sadness,1
the path ice age follows most closely  though  is the one established by warner bros  giant chuck jones  who died a matter of weeks before the movies release,1
thoughtful  even stinging at times  and lots of fun,1
whatever satire lucky break was aiming for  it certainly got lost in the  soontobeforgettable  section of the quirky ripoff prison romp pile  its petty thievery like this that puts flimsy flicks like this behind bars,0
